movie_id,movie_title,book_title,imdb_no,usable,isbn,oclc,imdb_title,imdb_actors,imdb_writers,imdb_genres,imdb_year,imdb_rated,imdb_released,imdb_runtime,imdb_imdbrating,imdb_imdbvotes,metadata_updated,book_id,budget,gross_usa,cumulative_worldwide_gross,opening_weekend_usa
m_9781847490599_220005468_tt0088726,Anna Karenina (1985 film),Anna Karenina,tt0088726,True,9781847490599,220005468,Anna Karenina,"['jacqueline bisset', 'christopher reeve', 'paul scofield', 'ian ogilvy']","['james goldman', 'leo tolstoy']","['drama', 'romance']",1985,PG,26 Mar 1985,135 min,6.2,241,True,b_9781847490599_220005468,,,,
m_9781847490599_220005468_tt0118623,Anna Karenina (1997 film),Anna Karenina,tt0118623,True,9781847490599,220005468,Anna Karenina,"['sophie marceau', 'sean bean', 'alfred molina', 'mia kirshner']","['leo tolstoy', 'bernard rose']","['drama', 'romance']",1997,PG-13,04 Apr 1997,108 min,6.4,"5,093",True,b_9781847490599_220005468,35000000,791830,,75268
m_9781847490599_220005468_tt1781769,Anna Karenina (2012 film),Anna Karenina,tt1781769,True,9781847490599,220005468,Anna Karenina,"['matthew macfadyen', 'eric maclennan', 'kelly macdonald', 'theo morrissey']","['tom stoppard', 'leo tolstoy']","['drama', 'romance']",2012,R,07 Sep 2012,129 min,6.6,"84,735",True,b_9781847490599_220005468,,12816367,68929150,320690
m__1432483_tt0246430,Anne Frank: The Whole Story,The Diary of a Young Girl,tt0246430,True,,1432483,Anne Frank: The Whole Story,"['ben kingsley', 'hannah taylor gordon', 'tatjana blacher', 'brenda blethyn']",['n/a'],"['biography', 'drama', 'war']",2001–,TV-14,20 May 2001,180 min,8.0,"4,475",True,b__1432483,,,,
m__1432483_tt0112373,Anne Frank Remembered,The Diary of a Young Girl,tt0112373,True,,1432483,Anne Frank Remembered,"['kenneth branagh', 'janny brandes-brilslijper', 'glenn close', 'rose de liema']","['jon blair', 'anne frank']","['documentary', 'biography', 'war']",1995,PG,08 Jun 1995,117 min,8.1,905,True,b__1432483,,1310200,,
m__1432483_tt0112862,Anne no nikki,The Diary of a Young Girl,tt0112862,True,,1432483,The Diary of Anne Frank,"['fumie kashiyama', 'gô katô', 'tetsuko kuroyanagi', 'tsuyoshi kusanagi']","['anne frank', 'hachirô konno', 'roger pulvers']","['animation', 'biography', 'drama']",1995,N/A,N/A,102 min,6.7,108,True,b__1432483,,,,
m_0091073901_213704_tt0237009,August 1 (film),The Day of the Jackal,tt0237009,True,0091073901,213704,August 1,"['mammootty', 'captain raju', 'prathapachandran', 'jagadish']",['s.n. swamy'],['n/a'],1988,N/A,21 Jul 1988,N/A,6.7,156,True,b_0091073901_213704,,,,
m__9506808_tt0066801,Ayşecik ve Sihirli Cüceler Rüyalar Ülkesinde,The Wonderful Wizard of Oz,tt0066801,True,,9506808,Little Ayse and the Magic Dwarfs in the Land of Dreams,"['zeynep degirmencioglu', 'süleyman turan', 'metin serezli', 'suna selen']",['hamdi degirmencioglu'],['fantasy'],1971,N/A,N/A,88 min,5.0,193,True,b__9506808,,,,
m_0575033754_59194695_tt0120595,Babe: Pig in the City,The Sheep-Pig,tt0120595,True,0575033754,59194695,Babe: Pig in the City,"['magda szubanski', 'james cromwell', 'mary stein', 'mickey rooney']","['george miller', 'judy morris', 'mark lamprell', 'dick king-smith']","['adventure', 'comedy', 'drama', 'family', 'fantasy']",1998,PG,25 Nov 1998,97 min,5.8,"29,211",True,b_0575033754_59194695,80000000,18319860,50812000,6162640
m_0575033754_59194695_tt0112431,Babe (film),The Sheep-Pig,tt0112431,True,0575033754,59194695,Babe,"['christine cavanaugh', 'miriam margolyes', 'danny mann', 'hugo weaving']","['dick king-smith', 'george miller', 'chris noonan']","['comedy', 'drama', 'family']",1995,G,04 Aug 1995,91 min,6.8,"109,319",True,b_0575033754_59194695,30000000,66600000,254134910,8742545
m__47052486_tt0099087,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,The Adventures of Tom Sawyer,tt0099087,True,,47052486,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,"['raphael sbarge', 'mitchell anderson', 'megan follows', 'william windom']",['roy johansen'],"['family', 'adventure']",1990,N/A,21 Oct 1990,92 min,6.5,118,True,b__47052486,,,,
m__222639171_tt0275954,Ballet Shoes (TV serial),Ballet Shoes (novel),tt0275954,True,,222639171,Ballet Shoes,"['angela thorne', 'jane slaughter', 'elizabeth morgan', 'sarah prince']",['n/a'],['family'],1975,N/A,27 Dec 1976,120 min,8.2,89,True,b__222639171,,,,
m__222639171_tt0847150,Ballet Shoes (film),Ballet Shoes (novel),tt0847150,True,,222639171,Sense & Sensibility,"['dominic cooper', 'charity wakefield', 'hattie morahan', 'janet mcteer']",['n/a'],"['drama', 'romance']",2008,TV-14,30 Mar 2008,174 min,8.0,"9,478",True,b__222639171,,,,
